Finance,Office of the Superintendent of Financial Institutions,Acquisition of Land, Buildings and Works,1558000
Finance,Office of the Superintendent of Financial Institutions,Acquistion of Machinery and Equipment,7625000
Fisheries and Oceans,Fisheries and Oceans,Personnel,987298000
Fisheries and Oceans,Fisheries and Oceans,Transportation and Communications,58867000
Fisheries and Oceans,Fisheries and Oceans,Information,2326000
Fisheries and Oceans,Fisheries and Oceans,Professional and Special Services,213341000
Fisheries and Oceans,Fisheries and Oceans,Rentals,16286000
Fisheries and Oceans,Fisheries and Oceans,Repair and Maintenance,159674000
Fisheries and Oceans,Fisheries and Oceans,Utilities, Materials and Supplies,102527000
Fisheries and Oceans,Fisheries and Oceans,Acquisition of Land, Buildings and Works,19742000
Fisheries and Oceans,Fisheries and Oceans,Acquistion of Machinery and Equipment,151851000
Fisheries and Oceans,Fisheries and Oceans,Transfer Payments,88186000
Foreign Affairs and International Trade,Foreign Affairs and International Trade Department,Personnel,1114315000
Foreign Affairs and International Trade,Foreign Affairs and International Trade Department,Transportation and Communications,143792000
Foreign Affairs and International Trade,Foreign Affairs and International Trade Department,Information,12791000
Foreign Affairs and International Trade,Foreign Affairs and International Trade Department,Professional and Special Services,267665000
Foreign Affairs and International Trade,Foreign Affairs and International Trade Department,Rentals,200677000
Foreign Affairs and International Trade,Foreign Affairs and International Trade Department,Repair and Maintenance,31955000
Foreign Affairs and International Trade,Foreign Affairs and International Trade Department,Utilities, Materials and Supplies,77241000
Foreign Affairs and International Trade,Foreign Affairs and International Trade Department,Acquisition of Land, Buildings and Works,174610000
Foreign Affairs and International Trade,Foreign Affairs and International Trade Department,Acquistion of Machinery and Equipment,50479000
Foreign Affairs and International Trade,Foreign Affairs and International Trade Department,Transfer Payments,672515000
Foreign Affairs and International Trade,Canadian International Development Agency,Personnel,192093000
Foreign Affairs and International Trade,Canadian International Development Agency,Transportation and Communications,6973000
Foreign Affairs and International Trade,Canadian International Development Agency,Information,71000
Foreign Affairs and International Trade,Canadian International Development Agency,Professional and Special Services,15081000
Foreign Affairs and International Trade,Canadian International Development Agency,Rentals,2368000
Foreign Affairs and International Trade,Canadian International Development Agency,Repair and Maintenance,2935000
Foreign Affairs and International Trade,Canadian International Development Agency,Utilities, Materials and Supplies,861000
Foreign Affairs and International Trade,Canadian International Development Agency,Acquistion of Machinery and Equipment,546000
Foreign Affairs and International Trade,Canadian International Development Agency,Transfer Payments,3132702000
Foreign Affairs and International Trade,Export Development Canada (Canada Account),Professional and Special Services,6320000
Foreign Affairs and International Trade,Export Development Canada (Canada Account),Transfer Payments,224761000
Foreign Affairs and International Trade,International Joint Commission (Canadian Section),Personnel,3740000
Foreign Affairs and International Trade,International Joint Commission (Canadian Section),Transportation and Communications,512000
Foreign Affairs and International Trade,International Joint Commission (Canadian Section),Information,23000
Foreign Affairs and International Trade,International Joint Commission (Canadian Section),Professional and Special Services,1545000
Foreign Affairs and International Trade,International Joint Commission (Canadian Section),Rentals,403000
Foreign Affairs and International Trade,International Joint Commission (Canadian Section),Repair and Maintenance,19000
Foreign Affairs and International Trade,International Joint Commission (Canadian Section),Utilities, Materials and Supplies,42000
Foreign Affairs and International Trade,International Joint Commission (Canadian Section),Acquistion of Machinery and Equipment,174000
Governor General,Governor General,Personnel,15007000
Governor General,Governor General,Transportation and Communications,1079000
Governor General,Governor General,Information,398000
Governor General,Governor General,Professional and Special Services,1782000
Governor General,Governor General,Rentals,358000
Governor General,Governor General,Repair and Maintenance,30000
Governor General,Governor General,Utilities, Materials and Supplies,747000
Governor General,Governor General,Acquistion of Machinery and Equipment,755000
Governor General,Governor General,Transfer Payments,537000
Health,Health Department,Personnel,994098000
Health,Health Department,Transportation and Communications,231564000
Health,Health Department,Information,18177000
Health,Health Department,Professional and Special Services,492558000
Health,Health Department,Rentals,19613000
Health,Health Department,Repair and Maintenance,25778000
Health,Health Department,Utilities, Materials and Supplies,458935000
Health,Health Department,Acquisition of Land, Buildings and Works,9124000
Health,Health Department,Acquistion of Machinery and Equipment,43123000
Health,Health Department,Transfer Payments,1632903000
Health,Assisted Human Reproduction Agency of Canada,Personnel,896000
Health,Assisted Human Reproduction Agency of Canada,Transportation and Communications,98000
Health,Assisted Human Reproduction Agency of Canada,Information,14000
Health,Assisted Human Reproduction Agency of Canada,Professional and Special Services,457000
Health,Assisted Human Reproduction Agency of Canada,Rentals,12000
Health,Assisted Human Reproduction Agency of Canada,Utilities, Materials and Supplies,6000
Health,Canadian Institutes of Health Research,Personnel,44924000
Health,Canadian Institutes of Health Research,Transportation and Communications,3797000
Health,Canadian Institutes of Health Research,Information,1117000
Health,Canadian Institutes of Health Research,Professional and Special Services,3618000
Health,Canadian Institutes of Health Research,Rentals,1009000
Health,Canadian Institutes of Health Research,Repair and Maintenance,112000
Health,Canadian Institutes of Health Research,Utilities, Materials and Supplies,306000
Health,Canadian Institutes of Health Research,Acquistion of Machinery and Equipment,956000
Health,Canadian Institutes of Health Research,Transfer Payments,940773000
Health,Canadian Northern Economic Development Agency,Personnel,9557000
Health,Canadian Northern Economic Development Agency,Transportation and Communications,1250000
Health,Canadian Northern Economic Development Agency,Information,86000
Health,Canadian Northern Economic Development Agency,Professional and Special Services,1757000
Health,Canadian Northern Economic Development Agency,Rentals,1148000
Health,Canadian Northern Economic Development Agency,Repair and Maintenance,1000
Health,Canadian Northern Economic Development Agency,Utilities, Materials and Supplies,158000
Health,Canadian Northern Economic Development Agency,Acquistion of Machinery and Equipment,62000
Health,Canadian Northern Economic Development Agency,Transfer Payments,38366000
Health,Hazardous Materials Information Review Commission,Personnel,4139000
Health,Hazardous Materials Information Review Commission,Transportation and Communications,58000
Health,Hazardous Materials Information Review Commission,Information,23000
Health,Hazardous Materials Information Review Commission,Professional and Special Services,552000
Health,Hazardous Materials Information Review Commission,Rentals,16000
Health,Hazardous Materials Information Review Commission,Repair and Maintenance,3000
Health,Hazardous Materials Information Review Commission,Utilities, Materials and Supplies,87000
Health,Hazardous Materials Information Review Commission,Acquistion of Machinery and Equipment,7000
Health,Patented Medicine Prices Review Board,Personnel,6579000
Health,Patented Medicine Prices Review Board,Transportation and Communications,159000
Health,Patented Medicine Prices Review Board,Information,48000
Health,Patented Medicine Prices Review Board,Professional and Special Services,856000
Health,Patented Medicine Prices Review Board,Rentals,116000
Health,Patented Medicine Prices Review Board,Repair and Maintenance,16000
Health,Patented Medicine Prices Review Board,Utilities, Materials and Supplies,175000
Health,Patented Medicine Prices Review Board,Acquistion of Machinery and Equipment,106000
Health,Public Health Agency of Canada,Personnel,240626000
Health,Public Health Agency of Canada,Transportation and Communications,8673000
Health,Public Health Agency of Canada,Information,12881000
Health,Public Health Agency of Canada,Professional and Special Services,99721000
Health,Public Health Agency of Canada,Rentals,4954000
Health,Public Health Agency of Canada,Repair and Maintenance,4778000
Health,Public Health Agency of Canada,Utilities, Materials and Supplies,25668000
Health,Public Health Agency of Canada,Acquisition of Land, Buildings and Works,6837000
Health,Public Health Agency of Canada,Acquistion of Machinery and Equipment,12394000
Health,Public Health Agency of Canada,Transfer Payments,201062000
Human Resources and Skills Development,Human Resources and Skills Development Department,Personnel,1944508000
Human Resources and Skills Development,Human Resources and Skills Development Department,Transportation and Communications,67013000
Human Resources and Skills Development,Human Resources and Skills Development Department,Information,67810000
Human Resources and Skills Development,Human Resources and Skills Development Department,Professional and Special Services,640728000
Human Resources and Skills Development,Human Resources and Skills Development Department,Rentals,241266000
Human Resources and Skills Development,Human Resources and Skills Development Department,Repair and Maintenance,7942000
Human Resources and Skills Development,Human Resources and Skills Development Department,Utilities, Materials and Supplies,8919000
Human Resources and Skills Development,Human Resources and Skills Development Department,Acquistion of Machinery and Equipment,19495000
Human Resources and Skills Development,Human Resources and Skills Development Department,Transfer Payments,47169332000
Human Resources and Skills Development,Canada Industrial Relations Board,Personnel,10340000
Human Resources and Skills Development,Canada Industrial Relations Board,Transportation and Communications,704000
Human Resources and Skills Development,Canada Industrial Relations Board,Information,31000
Human Resources and Skills Development,Canada Industrial Relations Board,Professional and Special Services,755000
Human Resources and Skills Development,Canada Industrial Relations Board,Rentals,172000
Human Resources and Skills Development,Canada Industrial Relations Board,Repair and Maintenance,95000
Human Resources and Skills Development,Canada Industrial Relations Board,Utilities, Materials and Supplies,166000
Human Resources and Skills Development,Canada Industrial Relations Board,Acquistion of Machinery and Equipment,455000
