Ministry,Department,Item,Value
Indian Affairs and Northern Development,Canadian Polar Commission,Professional and Special Services,164000
Indian Affairs and Northern Development,Canadian Polar Commission,Rentals,132000
Indian Affairs and Northern Development,Canadian Polar Commission,"Utilities, Materials and Supplies",10000
Indian Affairs and Northern Development,Canadian Polar Commission,Acquistion of Machinery and Equipment,13000
Indian Affairs and Northern Development,Canadian Polar Commission,Transfer Payments,10000
Indian Affairs and Northern Development,Indian Residential Schools Truth and Reconciliation Commission,Personnel,4898000
Indian Affairs and Northern Development,Indian Residential Schools Truth and Reconciliation Commission,Transportation and Communications,995000
Indian Affairs and Northern Development,Indian Residential Schools Truth and Reconciliation Commission,Information,1945000
Indian Affairs and Northern Development,Indian Residential Schools Truth and Reconciliation Commission,Professional and Special Services,3053000
Indian Affairs and Northern Development,Indian Residential Schools Truth and Reconciliation Commission,Rentals,850000
Indian Affairs and Northern Development,Indian Residential Schools Truth and Reconciliation Commission,Repair and Maintenance,1000
Indian Affairs and Northern Development,Indian Residential Schools Truth and Reconciliation Commission,"Utilities, Materials and Supplies",26000
Indian Affairs and Northern Development,Indian Residential Schools Truth and Reconciliation Commission,Acquistion of Machinery and Equipment,41000
Indian Affairs and Northern Development,Registry of the Specific Claims Tribunal,Personnel,1001000
Indian Affairs and Northern Development,Registry of the Specific Claims Tribunal,Transportation and Communications,296000
Indian Affairs and Northern Development,Registry of the Specific Claims Tribunal,Information,16000
Indian Affairs and Northern Development,Registry of the Specific Claims Tribunal,Professional and Special Services,275000
Indian Affairs and Northern Development,Registry of the Specific Claims Tribunal,Rentals,424000
Indian Affairs and Northern Development,Registry of the Specific Claims Tribunal,Repair and Maintenance,13000
Indian Affairs and Northern Development,Registry of the Specific Claims Tribunal,"Utilities, Materials and Supplies",16000
Indian Affairs and Northern Development,Registry of the Specific Claims Tribunal,"Acquisition of Land, Buildings and Works",17000
Indian Affairs and Northern Development,Registry of the Specific Claims Tribunal,Acquistion of Machinery and Equipment,80000
Industry,Industry Department,Personnel,513170000
Industry,Industry Department,Transportation and Communications,12411000
Industry,Industry Department,Information,3463000
Industry,Industry Department,Professional and Special Services,92826000
Industry,Industry Department,Rentals,12988000
Industry,Industry Department,Repair and Maintenance,5738000
Industry,Industry Department,"Utilities, Materials and Supplies",5896000
Industry,Industry Department,"Acquisition of Land, Buildings and Works",314000
Industry,Industry Department,Acquistion of Machinery and Equipment,16443000
Industry,Industry Department,Transfer Payments,881986000
Industry,Canadian Space Agency,Personnel,78523000
Industry,Canadian Space Agency,Transportation and Communications,4518000
Industry,Canadian Space Agency,Information,1938000
Industry,Canadian Space Agency,Professional and Special Services,115249000
Industry,Canadian Space Agency,Rentals,4109000
Industry,Canadian Space Agency,Repair and Maintenance,3062000
Industry,Canadian Space Agency,"Utilities, Materials and Supplies",3444000
Industry,Canadian Space Agency,Acquistion of Machinery and Equipment,75385000
Industry,Canadian Space Agency,Transfer Payments,30669000
Industry,Copyright Board,Personnel,1755000
Industry,Copyright Board,Transportation and Communications,166000
Industry,Copyright Board,Information,116000
Industry,Copyright Board,Professional and Special Services,355000
Industry,Copyright Board,Rentals,72000
Industry,Copyright Board,Repair and Maintenance,2000
Industry,Copyright Board,"Utilities, Materials and Supplies",37000
Industry,Copyright Board,Acquistion of Machinery and Equipment,6000
Industry,Federal Economic Development Agency for Southern Ontario,Personnel,22107000
Industry,Federal Economic Development Agency for Southern Ontario,Transportation and Communications,1368000
Industry,Federal Economic Development Agency for Southern Ontario,Information,311000
Industry,Federal Economic Development Agency for Southern Ontario,Professional and Special Services,3399000
Industry,Federal Economic Development Agency for Southern Ontario,Rentals,2024000
Industry,Federal Economic Development Agency for Southern Ontario,Repair and Maintenance,21000
Industry,Federal Economic Development Agency for Southern Ontario,"Utilities, Materials and Supplies",125000
Industry,Federal Economic Development Agency for Southern Ontario,"Acquisition of Land, Buildings and Works",109000
Industry,Federal Economic Development Agency for Southern Ontario,Acquistion of Machinery and Equipment,599000
Industry,Federal Economic Development Agency for Southern Ontario,Transfer Payments,212041000
Industry,National Research Council of Canada,Personnel,401848000
Industry,National Research Council of Canada,Transportation and Communications,13031000
Industry,National Research Council of Canada,Information,1813000
Industry,National Research Council of Canada,Professional and Special Services,33664000
Industry,National Research Council of Canada,Rentals,4372000
Industry,National Research Council of Canada,Repair and Maintenance,19711000
Industry,National Research Council of Canada,"Utilities, Materials and Supplies",46174000
Industry,National Research Council of Canada,"Acquisition of Land, Buildings and Works",21953000
Industry,National Research Council of Canada,Acquistion of Machinery and Equipment,42025000
Industry,National Research Council of Canada,Transfer Payments,253240000
Industry,Natural Sciences and Engineering Research Council,Personnel,40672000
Industry,Natural Sciences and Engineering Research Council,Transportation and Communications,3155000
Industry,Natural Sciences and Engineering Research Council,Information,575000
Industry,Natural Sciences and Engineering Research Council,Professional and Special Services,4177000
Industry,Natural Sciences and Engineering Research Council,Rentals,948000
Industry,Natural Sciences and Engineering Research Council,Repair and Maintenance,581000
Industry,Natural Sciences and Engineering Research Council,"Utilities, Materials and Supplies",281000
Industry,Natural Sciences and Engineering Research Council,Acquistion of Machinery and Equipment,2850000
Industry,Natural Sciences and Engineering Research Council,Transfer Payments,1022729000
Industry,Registry of the Competition Tribunal,Personnel,1065000
Industry,Registry of the Competition Tribunal,Transportation and Communications,183000
Industry,Registry of the Competition Tribunal,Information,41000
Industry,Registry of the Competition Tribunal,Professional and Special Services,337000
Industry,Registry of the Competition Tribunal,Rentals,10000
Industry,Registry of the Competition Tribunal,Repair and Maintenance,1000
Industry,Registry of the Competition Tribunal,"Utilities, Materials and Supplies",46000
Industry,Registry of the Competition Tribunal,Acquistion of Machinery and Equipment,54000
Industry,Social Sciences and Humanities Research Council,Personnel,21837000
Industry,Social Sciences and Humanities Research Council,Transportation and Communications,1144000
Industry,Social Sciences and Humanities Research Council,Information,366000
Industry,Social Sciences and Humanities Research Council,Professional and Special Services,2346000
Industry,Social Sciences and Humanities Research Council,Rentals,492000
Industry,Social Sciences and Humanities Research Council,Repair and Maintenance,255000
Industry,Social Sciences and Humanities Research Council,"Utilities, Materials and Supplies",82000
Industry,Social Sciences and Humanities Research Council,Acquistion of Machinery and Equipment,1260000
Industry,Social Sciences and Humanities Research Council,Transfer Payments,668651000
Industry,Statistics Canada,Personnel,556301000
Industry,Statistics Canada,Transportation and Communications,14384000
Industry,Statistics Canada,Information,604000
